#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
100,362067,07.01.2023,UCA0080,AGUARD,AGUARD,SGD,0,0,97.7,36-2067,,,6-Jan,6-Jan,6-Jan
101,362068,07.01.2023,UCC9999,CASH (SHIYUN),CASH (SHIYUN),SGD,0,0,27.5,36-2068,,,6-Jan,6-Jan,6-Jan
102,362069,07.01.2023,UCC9999,CASH (SHIYUN),CASH (SHIYUN),SGD,0,0,38.9,36-2069,,,6-Jan,6-Jan,6-Jan
103,361679,04.01.2023,UCP0124,PIN XIANG SHA DIE,PIN XIANG SHA DIE,SGD,0,0,103.9,36-1679,,,2-Jan,2-Jan,2-Jan
104,361680,04.01.2023,UCB0080,BEST GROCERMART PTE LTD-UMART,BEST GROCERMART PTE LTD-UMART,SGD,0,353.74,0,36-1680,,,31/12 B.TRANS 22245104,31/12 B.TRANS 22245104,31/12 B.TRANS 22245104
105,361681,04.01.2023,UCC0092,DONG BEI CUISINE,DONG BEI CUISINE,SGD,0,0,112.6,36-1681,,,2-Jan,2-Jan,2-Jan
106,361682,04.01.2023,UCJ0175,JUSS MAKAN PTE LTD,JUSS MAKAN PTE LTD,SGD,0,129.92,0,36-1682,,,29/12-1/1 B.TRANS,29/12-1/1 B.TRANS,29/12-1/1 B.TRANS
107,361683,04.01.2023,UCT0269,TONG FU JU PTE LTD,TONG FU JU PTE LTD,SGD,0,234.93,0,36-1683,,,28/12 B.TRANS 22243737,28/12 B.TRANS 22243737,28/12 B.TRANS 22243737
108,361684,04.01.2023,UCM0298,MR YAN QIAILONG,MR YAN QIAILONG,SGD,0,40.13,0,36-1684,,,31/12 B.TRANS 22245080,31/12 B.TRANS 22245080,31/12 B.TRANS 22245080
109,361685,04.01.2023,UCM0298,MR YAN QIAILONG,MR YAN QIAILONG,SGD,0,56.18,0,36-1685,,,27/12 B.TRANS 22243434,27/12 B.TRANS 22243434,27/12 B.TRANS 22243434
110,361686,03.01.2023,UCK0113,3KS HOLDINGS PTE LTD,3KS HOLDINGS PTE LTD,SGD,0,979.39,0,36-1686,,,19/12-24/12 B.TRANS,19/12-24/12 B.TRANS,19/12-24/12 B.TRANS
111,361687,04.01.2023,UCE0020,EURACO FINEFOOD PTE LTD,EURACO FINEFOOD PTE LTD,SGD,"6,069.57",0,0,36-1687,,,NOV (109067),NOV (109067),NOV (109067)
112,361688,04.01.2023,UCA0088,AT FRESH PTE LTD,AT FRESH PTE LTD,SGD,"1,391.00",0,0,36-1688,,,OCT (481375),OCT (481375),OCT (481375)
113,361689,04.01.2023,UCT0243,THAI NOODLE HOUSE,THAI NOODLE HOUSE,SGD,242.57,0,0,36-1689,,,3/1 (927775) 23101037,3/1 (927775) 23101037,3/1 (927775) 23101037
114,361690,05.01.2023,UCC0008,CASH,CASH,SGD,0,0,7,36-1690,,,4-Jan,4-Jan,4-Jan
115,361691,05.01.2023,UCK0051,KEE (GZ 6262),KEE (GZ 6262),SGD,0,0,151.2,36-1691,,,4-Jan,4-Jan,4-Jan
116,361692,05.01.2023,UCM0307,MING SOON HUAT TRADING PTE LTD,MING SOON HUAT TRADING PTE LTD,SGD,0,0,149.4,36-1692,,,4-Jan,4-Jan,4-Jan
117,361693,05.01.2023,UCM0307,MING SOON HUAT TRADING PTE LTD,MING SOON HUAT TRADING PTE LTD,SGD,0,0,398,36-1693,,,4-Jan,4-Jan,4-Jan
118,361694,05.01.2023,UCM0307,MING SOON HUAT TRADING PTE LTD,MING SOON HUAT TRADING PTE LTD,SGD,0,0,585,36-1694,,,4-Jan,4-Jan,4-Jan
119,361695,05.01.2023,UCC0777,CASH ( LIANG ),CASH ( LIANG ),SGD,0,0,567,36-1695,,,4-Jan,4-Jan,4-Jan
