No,Document Number,Document Type,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
861,5851,I,10.11.2022,FKU001,FISH- KUNING 31-40pcs 4X2KG/CTNS,10,2.8,28
862,5851,I,10.11.2022,FLE003,FISH- LEATHER JACKET 300-400gm 10kg/ctn,10,7.5,75
863,5851,I,10.11.2022,SLB007,SEAFOOD- CRAY PRAWN 100-150,10,12,120
864,5851,I,10.11.2022,PCUB04,PORK SWEET & SOUR VALUE PACK 500gm X 20pkt,9,3,27
865,5851,I,10.11.2022,BMM003-02,BEEF MELTIQUE CUBE 500GM/PKT,8,13.8,110.4
866,5851,I,10.11.2022,SOYS11,SEAFOOD- OYSTER 10g-12g (U CATCH) 250GM/PKT,6,1.8,10.8
867,5851,I,10.11.2022,PCOL10-05,IBERICO PORK COLLAR SHABU SHABU 2MM 200GM/PKT,5,4.2,21
868,5851,I,10.11.2022,PRIB05-01,PORK RIBLETS 3 INCH,5,3.6,18
869,5851,I,10.11.2022,OFF009,OTHER- TWISTER FRIES / CURLY FRIES 1KG/PKT,4,5.83,23.32
870,5851,I,10.11.2022,OTO010,OTHER- OTAK PRAWN 180GM (100pkt/ctn),4,2.3,9.2
871,5851,I,10.11.2022,PHES01,PORK- PIG MASK (OJJ),4,1.8,7.2
872,5851,I,10.11.2022,PM-10,PORK MINCED + PORK FAT,4,4.2,16.8
873,5851,I,10.11.2022,BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,3,5,15
874,5851,I,10.11.2022,OHD0011,OTHER- C.COCKTAIL CHEESE SAUSAGE 12X1KG/PKT,3,9,27
875,5851,I,10.11.2022,PCOL10-01,PORK COLLAR IBERICO (JARMONDOR-SPAIN),2.96,20.5,60.68
876,5851,I,10.11.2022,CWHO01,CHICKEN- WHOLE CHICKEN 1100gm (PERDIAO) 11kg/ctn,2.2,4.7,10.34
877,5851,I,10.11.2022,DUCK07-01,DUCK FEET DEBONE 12X1KG/CTNS,2,19,38
878,5851,I,10.11.2022,MSL001,MUTTON SLICED 2MM (SHABU SHABU) 1kg/pkt,2,11.4,22.8
879,5851,I,10.11.2022,OPO003-05,OTHER- CHICKEN ROASTED SPICY BONELESS LEG 500GM/PKT,10,3.85,38.5
880,5851,I,10.11.2022,SAUCE-03,SAUCE LIGHT SOYA 5L/TIN KCT GRADE 1,2,3,6
881,5851,I,10.11.2022,SMU002,SEAFOOD- WHOLE MUSSEL 5x1pkt/ctns,2,5,10
882,5851,I,10.11.2022,CNSF01,CHICKEN STIR FRY 250GM X 12PKT (PERDIGAO),1,2.3,2.3
883,5851,I,10.11.2022,PCHB02,PORK CHOP BONE IN 1.3CM 1KG/PKT,1,3.9,3.9
884,5851,I,10.11.2022,DUCK13,DUCK GIZZARD,0.57,3.2,1.82
885,5851,I,10.11.2022,BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),0.39,26,10.14
886,5852,I,10.11.2022,CSLI08-02,CHICKEN SLICED SHABU SHABU 12X300gm/pkt PERDIGAO,12,2.2,26.4
887,5853,I,10.11.2022,MCU002,MUTTON LEG CUT CUBE 5KG/PKT,5,8,40
888,5857,I,10.11.2022,CCUR01,CHICKEN- CURRY CHICKEN A 5kgX2pkt,150,2.8,420
889,5857,I,10.11.2022,CCUR07,CHICKEN- CURRY CHICKEN (LEE) 10kg/ctn,150,2.8,420
890,5857,I,10.11.2022,CCUR01,CHICKEN- CURRY CHICKEN A 5kgX2pkt,"1,000.00",2.8,"2,800.00"
891,5857,I,10.11.2022,CCUR01,CHICKEN- CURRY CHICKEN A 5kgX2pkt,130,2.8,364
892,5857,I,10.11.2022,PHCU01,PORK HOCK CUBE A 5KGX2PKT/CTNS,360,2.5,900
893,5857,I,10.11.2022,PHOC07,PORK HOCK C2 10KG/CTNS,100,2.6,260
894,5857,I,10.11.2022,PHOC14,PORK HOCK S2 800gm 20pcs 15KG/CTNS,135,2.6,351
895,5857,I,10.11.2022,PHOC09,PORK HOCK C4 3X5KG/CTNS,150,2.6,390
896,5857,I,10.11.2022,PHOC11,PORK HOCK S2 450-500gm 2X5KG/CTNS,160,2.6,416
897,5857,I,10.11.2022,PHOC12,PORK HOCK S2 350-400gm 5KGX2PKT/CTNS,65,2.6,169
898,5857,I,10.11.2022,PHCU02,PORK HOCK CUBE AA 5Kg/Pkt,10,2.6,26
899,5857,I,10.11.2022,PCOS04-02,PORK COLLAR CUT PCS,70,4.3,301
900,5857,I,10.11.2022,PM-06,PORK MINCED AA GRIND TWICE 6X2KG/CTNS,20,3.8,76
901,5857,I,10.11.2022,PM-02,PORK- MINCED PORK A 6X2KG/CTNS,32,3.3,105.6
902,5857,I,10.11.2022,PM-09,PORK MINCED GRIND TWICE 5KG/PKT,210,3.3,693
903,5857,I,10.11.2022,PM-01,PORK- MINCED PORK 6X2KG/CTNS,"1,244.00",3.3,"4,105.20"
904,5857,I,10.11.2022,PM-04,PORK MINCED 7/3 GRIND TWICE 6X2KG/CTNS,662,3.3,"2,184.60"
905,5857,I,10.11.2022,PFLO02,PORK FLOSS 6mm 2kgX5pkt,714,3.2,"2,284.80"
906,5857,I,10.11.2022,PRIB08,PORK RIBLETS CUT 2-2 1/2' 5kgX2pkt,265,4.5,"1,192.50"
907,5857,I,10.11.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,45,2.5,112.5
