item_code,description,purchase_count,avg_price,min_price,median_price,max_price,latest_purchase_price,latest_purchase_date,total_qty,total_pv,num_suppliers
BKN004,BEEF KNUCKLE CUBE 500GM/PKT [HALAL],1.0,5.88,5.88,5.88,5.88,5.88,2022-11-14,200.0,1176.0,1
BKN005,BEEF KNUCKLE CUBE (BUTHER'S RIDGE) 500GMX20PKT,5.0,5.3,5.3,5.3,5.3,5.3,2022-12-30,1160.0,6148.0,1
BLI001,BEEF LIVER,1.0,3.2,3.2,3.2,3.2,3.2,2022-12-09,23.09,73.888,1
BLO001,BEEF- LEG OF BEEF,1.0,6.4,6.4,6.4,6.4,6.4,2022-10-03,727.05,4653.12,1
BLU001,BEEF LUNG,2.0,2.65,1.8,2.65,3.5,2.65,2022-11-11,60.099999999999994,177.71,2
BMB002,BEEF MARROW BONE CUT 2 INCH,11.0,2.054545454545455,1.9,2.1,2.2,2.1,2022-12-31,6459.68,13200.36,4
BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,3.0,5.3999999999999995,4.5,5.5,6.2,5.5,2022-12-23,172.0,911.4,1
BMI003,BEEF- TRIMMING MINCED BEEF,1.0,5.1,5.1,5.1,5.1,5.1,2022-11-30,100.0,509.99999999999994,1
BMI005,BEEF- MINCED BEEF (TFP) 300gmX20pkt,5.0,2.524,2.34,2.34,2.8,2.34,2022-11-14,1200.0,3084.0,2
BMI006,BEEF- MINCED BEEF (TUDBOM-SA) 500gmX24pkt,1.0,4.7,4.7,4.7,4.7,4.7,2022-10-25,240.0,1128.0,1
BMI007,BEEF- MINCED BEEF (BUTHER'S RIDGE) 300gm,12.0,3.0,3.0,3.0,3.0,3.0,2022-12-29,2900.0,8700.0,1
BMM004,BEEF STRIPLOIN (MELTIQUE-AUST),4.0,26.875,26.0,26.0,29.5,26.0,2022-12-30,1205.6399999999999,31429.065000000002,2
BMS001,BEEF MEAT SLICED 6X2KG/CTNS [HALAL],1.0,8.8,8.8,8.8,8.8,8.8,2022-11-23,2.0,17.6,1
BOM001,BEEF OMASUM 17KG/CTNS,2.0,7.35,7.2,7.35,7.5,7.5,2022-11-01,437.56,3179.7,2
BOM001-02,BEEF OMASUM AUST 20KG/CTNS,5.0,7.839999999999999,7.6,7.6,8.2,8.2,2022-12-31,1489.92,11743.392,2
BOM001-03,BEEF OMASUM BRAZIL,9.0,7.5,7.4,7.5,7.6,7.5,2022-12-30,2751.7999999999997,20633.092,3
BOM002,BEEF OMASUM (AFFCO),4.0,8.625,8.0,8.0,10.5,8.0,2022-11-19,1574.3400000000001,13176.170000000002,2
BPA003,BEEF BURGER PATTIES (SADIA) 320GM X 20PKT,1.0,2.99,2.99,2.99,2.99,2.99,2022-11-11,200.0,598.0,1
BPA003-02,BEEF BURGER PATTIES CLASSIC 20X320gm,5.0,3.0,3.0,3.0,3.0,3.0,2022-12-13,480.0,1440.0,1
BPA004,BEEF BURGER PEPPER & ONION (BLACK PRIMO SADIA) 420GM X 15PKT,4.0,4.3725000000000005,4.29,4.4,4.4,4.4,2022-12-21,300.0,1311.75,2
BPA004-01,BEEF BURGER CHEDDAR CHEESE (GOURMET) 15X420gm,3.0,4.4,4.4,4.4,4.4,4.4,2022-12-17,165.0,726.0,1
BRE0011,CHILLED BEEF RIBEYE PS CUBEROLL NZ SILVERFERN,2.0,28.75,28.0,28.75,29.5,28.0,2022-12-07,147.70000000000002,4335.79,2
BRE005,BEEF RIBEYE / CUBEROLL (MONDELI),2.0,10.4,10.4,10.4,10.4,10.4,2022-12-24,1577.73,16408.392,1
BRF002,BEEF RIB FINGER (BRAZIL-MINERVA/MONDELI/QUALITY BEEF),4.0,7.4,7.4,7.4,7.4,7.4,2022-12-31,2909.6,21531.04,1
BSF001,BEEF STIR FRY (TFP) 200gmX20pkt,4.0,2.37,2.34,2.37,2.4,2.34,2022-11-14,900.0,2136.0,2
BSF002,BEEF- BEEF STIR FRY (BUTHER'S RIDGE) 200gm,11.0,3.0,3.0,3.0,3.0,3.0,2022-12-30,2100.0,6300.0,1
BSH004,BEEF SHIN/SHANK (QUALITY BEEF-BRAZIL),6.0,5.583333333333333,5.0,5.6,6.0,5.5,2022-12-29,2713.88,15291.138,5
