doc_date,industry_desc,trade_suppliers_ind,active_vendor,total
2018-04-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,452088.85000000003
2018-04-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,262063.75999999998
2018-05-01,LOCAL SUPPLIERS,OTHER VENDOR,0,21331.56
2018-05-01,LOCAL SUPPLIERS,OTHER VENDOR,1,244146.94
2018-05-01,LOCAL SUPPLIERS,TRADE VENDOR,0,622427.79
2018-05-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1419306.21
2018-05-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,626626.66
2018-05-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,482954.35
2018-06-01,LOCAL SUPPLIERS,OTHER VENDOR,0,7611.13
2018-06-01,LOCAL SUPPLIERS,OTHER VENDOR,1,238194.12
2018-06-01,LOCAL SUPPLIERS,TRADE VENDOR,0,80005.15
2018-06-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1388843.45
2018-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,558780.64
2018-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,850661.03
2018-07-01,LOCAL SUPPLIERS,OTHER VENDOR,0,19868.71
2018-07-01,LOCAL SUPPLIERS,OTHER VENDOR,1,234805.78
2018-07-01,LOCAL SUPPLIERS,TRADE VENDOR,0,101248.3
2018-07-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1302324.8599999999
2018-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,69188.58
2018-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,324879.86
2018-08-01,LOCAL SUPPLIERS,OTHER VENDOR,0,16961.4
2018-08-01,LOCAL SUPPLIERS,OTHER VENDOR,1,237340.43
2018-08-01,LOCAL SUPPLIERS,TRADE VENDOR,0,212723.61000000002
2018-08-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1779024.89
2018-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,370223.5
2018-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,1022754.92
2018-09-01,LOCAL SUPPLIERS,OTHER VENDOR,0,42666.48
2018-09-01,LOCAL SUPPLIERS,OTHER VENDOR,1,232342.96
2018-09-01,LOCAL SUPPLIERS,TRADE VENDOR,0,170174.21
2018-09-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1794867.18
2018-09-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,317602.84
2018-09-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,1154796.12
2018-10-01,LOCAL SUPPLIERS,OTHER VENDOR,0,21797.65
2018-10-01,LOCAL SUPPLIERS,OTHER VENDOR,1,247307.17
2018-10-01,LOCAL SUPPLIERS,TRADE VENDOR,0,276915.01
2018-10-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1532732.73
2018-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,232443.36
2018-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,780425.53
2018-11-01,LOCAL SUPPLIERS,OTHER VENDOR,0,16459.21
2018-11-01,LOCAL SUPPLIERS,OTHER VENDOR,1,256264.65
2018-11-01,LOCAL SUPPLIERS,TRADE VENDOR,0,233431.59
2018-11-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1383211.27
2018-11-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,484483.63
2018-11-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,403809.70999999996
2018-12-01,LOCAL SUPPLIERS,OTHER VENDOR,0,5767.85
2018-12-01,LOCAL SUPPLIERS,OTHER VENDOR,1,220168.1
2018-12-01,LOCAL SUPPLIERS,TRADE VENDOR,0,162653.43
2018-12-01,LOCAL SUPPLIERS,TRADE VENDOR,1,937109.09
2018-12-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,103210.03
2018-12-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,294647.89
2019-01-01,LOCAL SUPPLIERS,OTHER VENDOR,0,16890.77
2019-01-01,LOCAL SUPPLIERS,OTHER VENDOR,1,250014.68
2019-01-01,LOCAL SUPPLIERS,TRADE VENDOR,0,352089.74
2019-01-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1488732.02
2019-01-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,659260.1900000001
2019-01-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,568296.41
2019-02-01,LOCAL SUPPLIERS,OTHER VENDOR,0,2485.6000000000004
2019-02-01,LOCAL SUPPLIERS,OTHER VENDOR,1,191523.26
2019-02-01,LOCAL SUPPLIERS,TRADE VENDOR,0,58940.66
2019-02-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1019764.47
2019-02-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,13227.54
2019-02-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,75793.73999999999
2019-03-01,LOCAL SUPPLIERS,OTHER VENDOR,0,16481.75
2019-03-01,LOCAL SUPPLIERS,OTHER VENDOR,1,222678.99
2019-03-01,LOCAL SUPPLIERS,TRADE VENDOR,0,110607.38
2019-03-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1586864.58
2019-03-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,22710.18
2019-03-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,584554.78
2019-04-01,LOCAL SUPPLIERS,OTHER VENDOR,0,12396.8
2019-04-01,LOCAL SUPPLIERS,OTHER VENDOR,1,199669.55000000002
2019-04-01,LOCAL SUPPLIERS,TRADE VENDOR,0,145257.11000000002
2019-04-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1274971.79
2019-04-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,394490.2
2019-04-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,61135.78
2019-05-01,LOCAL SUPPLIERS,OTHER VENDOR,0,42884.74
2019-05-01,LOCAL SUPPLIERS,OTHER VENDOR,1,288443.82
2019-05-01,LOCAL SUPPLIERS,TRADE VENDOR,0,62544.79
2019-05-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1665031.54
2019-05-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,189460.85
2019-05-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,667746.03
2019-06-01,LOCAL SUPPLIERS,OTHER VENDOR,0,23192.94
2019-06-01,LOCAL SUPPLIERS,OTHER VENDOR,1,259537.16999999998
2019-06-01,LOCAL SUPPLIERS,TRADE VENDOR,0,184860.2
2019-06-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1214569.31
2019-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,342391.1
2019-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,1899685.8699999999
2019-07-01,LOCAL SUPPLIERS,OTHER VENDOR,0,11899.28
2019-07-01,LOCAL SUPPLIERS,OTHER VENDOR,1,242234.41
2019-07-01,LOCAL SUPPLIERS,TRADE VENDOR,0,162316.85
2019-07-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1652609.61
2019-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,106635.01000000001
2019-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,242268.55000000002
2019-08-01,LOCAL SUPPLIERS,OTHER VENDOR,0,34467.85
2019-08-01,LOCAL SUPPLIERS,OTHER VENDOR,1,258824.17
2019-08-01,LOCAL SUPPLIERS,TRADE VENDOR,0,158352.96000000002
2019-08-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1558302.93
2019-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,179975.38
2019-08-01,OVERSEAS SUPPLIERS,TRADE VENDOR,1,802672.79
2019-09-01,LOCAL SUPPLIERS,OTHER VENDOR,0,36459.97
2019-09-01,LOCAL SUPPLIERS,OTHER VENDOR,1,364427.6
2019-09-01,LOCAL SUPPLIERS,TRADE VENDOR,0,192385.11
