week_start,item_code,description,vendor_code,vendor_name,price,group_average_price,group_min_price,group_max_price
2022-12-12,MFL003,MUTTON- LAMB FLAP BONE IN (KILDARE-AUST),UVM0008,MEGA PACKERS ASSOCIATE PTE LTD,7.8,7.95,7.8,7.95
2022-12-12,MSC007,MUTTON- LAMB LOIN CHOP 1.2CM 2KG/PKT,UVT0021,T&L INDUSTRIES PTE LTD,25.8,12.9,12.9,12.9
2022-12-12,MSV002,SHEEP FEET,UVK0002,KOH SEE LONG FOOD PTE LTD,6.4,6.4,6.4,6.4
2022-12-12,MTU001,MUTTON TRUNK 27.20kg/ctn,UVC0001,CASH SUPPLIER (NON-GST),8.5,10.195,8.5,10.3
2022-12-12,OBA001,OTHER- LOBSTER BALL (FIGO) 500gm/pkt,UVF0021,FARMFOOD TRADING PTE LTD,3.04,3.04,3.04,3.04
2022-12-12,OBA006,OTHER- FISH BALL L 65pcs +/- 1kg/pkt,UVL0002,LI CHUAN FOOD PRODUCTS PTE LTD,8.0,4.0,4.0,4.0
2022-12-12,OBA018,OTHER- PORK MUSHROOM BALL 1KG/PKT,UVS0061,SHISHANGFOOD PTE LTD,5.5,5.5,5.5,5.5
2022-12-12,OBS001,OTHER- FRIED BEANCURD SKIN 1KG/PKT (DOUKEE) A,UVT0023,TOP CHOICE FOOD (S) PTE LTD,8.2,8.2,8.2,8.2
2022-12-12,OCA002,OTHER- CAULIFORNIA MIX 10X1KG/CTNS,UVB0006,BEN FOODS (S) PTE LTD,2.05,2.05,2.05,2.05
2022-12-12,OCH001,OTHER- SLICED CHEESE 84pcs (CHEF CHOICE),UVA0001,ANGLISS SINGAPORE PTE LTD,9.0,9.0,9.0,9.0
2022-12-12,OCH003,OTHER- PARMESAN CHEESE GRATED 2KG/PKT,UVA0001,ANGLISS SINGAPORE PTE LTD,16.0,16.0,16.0,16.0
2022-12-12,OCH003-02,OTHER- PARMESAN CHEESE SHREDDED 1KG/PKT,UVA0001,ANGLISS SINGAPORE PTE LTD,16.0,16.0,16.0,16.0
2022-12-12,OCN008,OTHER- CHICKEN GOLDEN NUGGETS (AYAMAS) 850gm x 10 pkt,UVQ0003,QSR TRADING SDN BHD,3.91,3.91,3.91,3.91
2022-12-12,OCP004-02,OTHER- CHICKEN PATTIES (PRIMO-ROSEMARY) 420gmX15pkt,UVS0008,COUNTRY FOODS PTE LTD,4.4,4.4,4.4,4.4
2022-12-12,OCP006-02,CHICKEN BURGER PATTIES CLASSIC 20X320gm,UVS0008,COUNTRY FOODS PTE LTD,3.0,3.0,3.0,3.0
2022-12-12,OCS001,OTHER- CHAR SIEW CUBE,UVC0014,COSS FOOD MARKETING PTE LTD,5.5,2.75,2.75,2.75
2022-12-12,ODB003-02,OTHER- LOTUS LEAF BUN 28g x 10's,UVC0014,COSS FOOD MARKETING PTE LTD,1.4,1.4,1.4,1.4
2022-12-12,ODU007,OTHER- SOUP XIAO LONG BAO 1KG/PKT,UVX0002,XIN JIA FU FOOD PTE LTD,11.54,11.54,11.54,11.54
2022-12-12,OED001,OTHER- EDAMAME IN SHELL 400GM X 25PKT,UVB0006,BEN FOODS (S) PTE LTD,1.1,1.1,1.1,1.1
2022-12-12,OFC005,OTHER- THAI FISH CAKE FIGO 500gm/pkt x 20pkt/ctns,UVF0021,FARMFOOD TRADING PTE LTD,2.6,2.6,2.6,2.6
2022-12-12,OFF006-03,OTHER- F.FRIES CRISS CROSS  (CROKKN BATTERED) 4 X 2.5KG/CTNS,UVB0006,BEN FOODS (S) PTE LTD,8.75,8.75,8.75,8.75
2022-12-12,OFL002-02,OTHER- FROG LEG (PAN ROYAL) 6/8pcs /LB 500gm x 20pkt,UVO0001,OMNI AQUATIC SUPPLIES PTE LTD,4.75,4.75,4.75,4.75
2022-12-12,OFP004,OTHER- FISH PATTIES 32pcs (SAHIR)AAA 6pkt/ctn,UVS0008,COUNTRY FOODS PTE LTD,7.5,7.5,7.5,7.5
2022-12-12,OFS001,OTHER- CRISPY FISH SKIN 600gm/pkt,UVG0013,GUANGDONG IMPORT & EXPORT PTE LTD,8.12,8.12,8.12,8.12
2022-12-12,OFS003,OTHER- FISH MAW 1KG,UVC0035,TECK CASH SUPPLIER (NON-GST),30.0,30.0,30.0,30.0
2022-12-12,OHB001-02,OTHER- HASH BROWN (FAIRISLE/SIMPLOT) 20pcs 12pkt/ctn,UVC0001,CASH SUPPLIER (NON-GST),3.2,5.0,3.2,5.0
2022-12-12,OHB003,OTHER- HASH BROWN TRI TATERS (MAESTRO) 2.5kgX4pkt,UVB0006,BEN FOODS (S) PTE LTD,8.5,8.5,8.5,8.5
2022-12-12,OHD0012,OTHER- C.COCKTAIL CHEESE SAUSAGE 20X500KG/CTNS,UVS0008,COUNTRY FOODS PTE LTD,3.6,3.6,3.6,3.6
2022-12-12,OHD007-01,OTHER- HOT DOG 300gm (BLACK PEPPER-AYAMAS) 32pkt/ctn,UVQ0003,QSR TRADING SDN BHD,1.5,1.5,1.5,1.5
2022-12-12,OHD012-04,OTHER- PORK SMOKED SAUSAGE ORIGINAL,UVS0061,SHISHANGFOOD PTE LTD,0.6,0.6,0.6,0.7
2022-12-12,OKR003,OTHER- GLUTINOUS RICE CAKE (260g),UVN0012,NEW RETAIL INTERNATIONAL PTE LTD,2.43,2.43,2.43,2.43
2022-12-12,OMO002,OTHER- MOZZ SHREDDED 2kgX6pkt,UVA0001,ANGLISS SINGAPORE PTE LTD,9.0,9.0,9.0,9.0
2022-12-12,OMR002,OTHER- CHICKEN BALL 50PCS/PKT,UVL0002,LI CHUAN FOOD PRODUCTS PTE LTD,5.0,5.0,5.0,5.0
2022-12-12,OMT001,OTHER- MAN TOU 12pcs 180gm X 24pkt,UVC0014,COSS FOOD MARKETING PTE LTD,1.0,1.0,1.0,1.0
2022-12-12,OOR006,OTHER- ONION RING (LAMB WESTERN/SIMPLOT-BABY STAR) 2lbX8pkt,UVA0001,ANGLISS SINGAPORE PTE LTD,5.0,5.0,5.0,5.0
2022-12-12,OOW001,OTHER- OCTOPUS BABY 20/40 (FROZEN-CLEAN) 500GMX20PKT,UVS0005,SONG FISH DEALER PTE LTD,7.3,7.75,7.3,8.2
2022-12-12,OPN001,OTHER- PRAWN NUTS 1kg/pkt,USVS0018,SINGYI F&B PTE LTD,38.400000000000006,12.3,12.3,12.8
2022-12-12,OPO002,OTHER- CHICKEN FRIED CRISPY (AYAMAS) 850gmX10pkt,UVS0008,COUNTRY FOODS PTE LTD,4.65,4.65,4.65,4.65
2022-12-12,OPO003,OTHER- CHICKEN BUFFALO WING 450gmX12pkt (FARMPRIDE),UVS0008,COUNTRY FOODS PTE LTD,4.25,4.25,3.8,4.25
2022-12-12,OPO003-01,OTHER- CHICKEN BUFFALO WING 1kgX10pkt (FARMPRIDE),UVS0008,COUNTRY FOODS PTE LTD,16.0,8.0,7.5,8.0
2022-12-12,OPO004,OTHER- CHICKEN DRUMMETS BREADED HOT & SPICY 850gmX10pkt,UVS0008,COUNTRY FOODS PTE LTD,5.85,5.85,5.85,5.85
2022-12-12,OPO004-04,OTHER- CHICKEN DRUMMETS **JUMBO**,UVQ0003,QSR TRADING SDN BHD,5.2,5.2,5.2,5.2
2022-12-12,OPO005-02,OTHER- CHICKEN FINGERS HOT & SPICY 800gmX14pkt,UVQ0003,QSR TRADING SDN BHD,3.9,3.9,3.9,3.9
