item_code,description,date,quantity,purchase_quantity
CFAT02,CHICKEN FATS LIQUID,2022-10-01,45.0,20.0
CFAT02,CHICKEN FATS LIQUID,2022-11-01,65.0,50.0
CFAT02,CHICKEN FATS LIQUID,2022-12-01,165.0,150.0
CFEE01,CHICKEN- FRIED CHICKEN FEET 1kgX10pkt,2022-10-01,6682.0,0.0
CFEE01,CHICKEN- FRIED CHICKEN FEET 1kgX10pkt,2022-11-01,7478.0,0.0
CFEE01,CHICKEN- FRIED CHICKEN FEET 1kgX10pkt,2022-12-01,7498.0,0.0
CFEE04,HOUSE BRAND:FRIED CHICKEN FEET (UF) 400GMX10PKT,2022-10-01,32.0,0.0
CFEE04,HOUSE BRAND:FRIED CHICKEN FEET (UF) 400GMX10PKT,2022-11-01,180.0,0.0
CFEE04,HOUSE BRAND:FRIED CHICKEN FEET (UF) 400GMX10PKT,2022-12-01,42.0,0.0
CFEE04-03,CHICKEN FEET (AVIVAR-BRAZIL) 7.5kgX2pkt/ctn 35gmUP,2022-10-01,12251.5,0.0
CFEE04-03,CHICKEN FEET (AVIVAR-BRAZIL) 7.5kgX2pkt/ctn 35gmUP,2022-11-01,4967.5,0.0
CFEE04-03,CHICKEN FEET (AVIVAR-BRAZIL) 7.5kgX2pkt/ctn 35gmUP,2022-12-01,2145.5,0.0
CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,2022-10-01,5941.0,0.0
CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,2022-11-01,2118.0,0.0
CFEE08,CHICKEN FEET (AURORA) 6kgx2/ctn,2022-12-01,2262.0,0.0
